,index,MARS,known_types,Obp19d,Obp56d,Obp83a,seq_batch,seq_depth,HDBSCAN_attempt,Or85c,5-HT1A,5-HT2B,Type,annotated
0,ORNnuclei_adult_nSybUNC84GFP_P6_F16,4,NaN,7.4224157,0.0,4.3182507,Plate #6 (unc84::GFP),52773,1,0.0,0.0,8.495985,Or_VA1v,VA1v
1,ORN_10day_nuclei_P3_G9,5,DA1,10.899768,0.0,5.3975964,Plate #3 (lam::GFP),364485,4,0.0,0.0,0.0,Or_DA1,DA1
2,ORNnuclei_adult_nSybUNC84GFP_P7_N8,12,"DL2v/d, DP1l, DC4/DP1m",11.357607,9.052258,0.0,Plate #7 (unc84::GFP),303839,1,0.0,0.0,9.680383,Ir_DL2d/v_DP1l_VC3,DL2d/v_DP1l_VC3l
3,ORNnuclei_adult_nSybUNC84GFP_P3_K16,10,DC2,9.322147,0.0,12.638523,Plate #3 (unc84::GFP),64153,19,0.0,0.0,13.076249,Or_D,D
4,ORNnuclei_adult_nSybUNC84GFP_P10_J2,14,DM1/VA2,8.837638,6.8676467,0.0,Plate #10 (unc84::GFP),302298,7,0.0,0.0,0.0,Or_DM1,DM1
5,ORNnuclei_adult_nSybUNC84GFP_P7_B3,7,DC1,14.431082,10.5106945,0.0,Plate #7 (unc84::GFP),50071,15,0.0,0.0,5.3555546,Or_DC1,DC1
6,ORNnuclei_adult_nSybUNC84GFP_P7_O24,24,DL5,8.398637,0.0,2.1484191,Plate #7 (unc84::GFP),291255,19,0.0,0.0,4.183255,Or_MARS24,unannotated
7,ORNnuclei_adult_nSybUNC84GFP_P7_L17,5,DA1,8.50083,0.0,11.206862,Plate #7 (unc84::GFP),204846,4,0.0,0.0,11.757447,Or_DA1,DA1
8,ORNnuclei_adult_nSybUNC84GFP_P10_F16,4,VA1v,7.6634297,0.0,9.470703,Plate #10 (unc84::GFP),203240,10,0.0,0.0,0.0,Or_VA1v,VA1v
9,ORNnuclei_adult_nSybUNC84GFP_P9_E9,4,VA1v,8.899881,7.1983695,13.13077,Plate #9 (unc84::GFP),767821,10,0.0,0.0,1.2031302,Or_VA1v,VA1v
10,ORNnuclei_adult_nSybUNC84GFP_P7_E10,25,VM1/VL1,12.496646,9.566319,12.091783,Plate #7 (unc84::GFP),928495,1,0.0,0.0,6.833981,Or_MARS25,unannotated
11,ORN_10day_nuclei_P2_H18,9,VM1/VL1,9.635244,0.0,8.844534,Plate #2 (lam::GFP),560285,1,0.0,0.0,0.0,Ir_MARS9,unannotated
12,ORN_10day_nuclei_P2_D23,2,DM2,11.240961,8.741657,12.050567,Plate #2 (lam::GFP),475347,3,0.0,0.0,2.3805778,Or_DM2,DM2
13,ORNnuclei_adult_nSybUNC84GFP_P9_F7,7,DC1,11.630812,9.493244,7.502443,Plate #9 (unc84::GFP),621097,-1,0.0,0.0,6.166764,Or_DC1,DC1
14,ORNnuclei_adult_nSybUNC84GFP_P1_G22,25,DM1/VA2,4.069385,0.0,8.444364,Plate #1 (unc84::GFP),63338,-1,0.0,0.0,0.0,Or_MARS25,unannotated
15,ORNnuclei_adult_nSybUNC84GFP_P7_M16,6,NaN,10.051114,0.0,7.649929,Plate #7 (unc84::GFP),395309,1,0.0,0.0,10.3624115,Ir_VP1l_VP3,VP1l_VP3
16,ORNnuclei_adult_nSybUNC84GFP_P5_D10,1,DM4,2.4604533,0.0,0.0,Plate #5 (unc84::GFP),1110150,2,0.0,0.0,10.884808,Or_DM4,DM4
17,ORN_10day_nuclei_P3_H9,5,DA1,2.796161,0.0,10.05361,Plate #3 (lam::GFP),2354565,4,0.0,0.0,11.931072,Or_DA1,DA1
18,ORNnuclei_adult_nSybUNC84GFP_P10_K22,12,"DL2v/d, DP1l, DC4/DP1m",12.905685,5.5277233,0.0,Plate #10 (unc84::GFP),110784,1,0.0,0.0,0.0,Ir_DL2d/v_DP1l_VC3,DL2d/v_DP1l_VC3l
19,ORNnuclei_adult_nSybUNC84GFP_P5_O21,25,NaN,11.954726,8.8054285,13.8200655,Plate #5 (unc84::GFP),508510,12,0.0,0.0,0.0,Or_MARS25,unannotated
20,ORNnuclei_adult_nSybUNC84GFP_P8_I15,20,"DL2v/d, DP1l, DC4/DP1m",12.857397,6.1859937,8.941567,Plate #8 (unc84::GFP),83558,1,0.0,0.0,8.392732,Ir_MARS20,unannotated
21,ORNnuclei_adult_nSybUNC84GFP_P1_M15,13,"DL2v/d, DP1l, DC4/DP1m",7.7324653,0.0,0.0,Plate #1 (unc84::GFP),118109,1,0.0,0.0,4.164586,Ir_DP1m_DC4,DP1m_DC4
22,ORNnuclei_adult_nSybUNC84GFP_P8_E14,3,DC2,10.484435,8.768882,6.123449,Plate #8 (unc84::GFP),87314,11,0.0,0.0,8.608807,Or_DC2,DC2
23,ORNnuclei_adult_nSybUNC84GFP_P9_J22,15,DM1/VA2,8.421668,0.0,9.917753,Plate #9 (unc84::GFP),201810,5,0.0,0.0,0.0,Or_VA2,VA2
24,ORNnuclei_adult_nSybUNC84GFP_P5_P17,24,VA5/D,11.292325,7.1309404,4.828352,Plate #5 (unc84::GFP),474271,19,0.0,0.0,3.5288832,Or_MARS24,unannotated
25,ORNnuclei_adult_nSybUNC84GFP_P5_I16,22,NaN,13.814938,11.156051,10.234398,Plate #5 (unc84::GFP),150376,12,0.0,0.0,0.0,Or_MARS22,unannotated
26,ORNnuclei_adult_nSybUNC84GFP_P3_G1,13,"DL2v/d, DP1l, DC4/DP1m",10.693778,0.0,6.662822,Plate #3 (unc84::GFP),179420,1,0.0,2.716665,0.0,Ir_DP1m_DC4,DP1m_DC4
27,ORNnuclei_adult_nSybUNC84GFP_P6_M7,24,VM3,9.487411,3.818845,7.138126,Plate #6 (unc84::GFP),228799,17,0.0,0.0,0.0,Or_MARS24,unannotated
