Full Name,Short Name,CG,Alternative Names,Notes,,,
Adipokinetic hormone receptor,AkhR,CG11325,,,,,
Allatostatin A receptor 1 ,AstA-R1,CG2872,,,,,
Allatostatin A receptor 2 ,AstA-R2,CG10001,,,,,
Allatostatin C receptor 1 ,AstC-R1,CG7285,,,,,
Allatostatin C receptor 2 ,AstC-R2,CG7285,,,,,
Capability receptor,CapaR,CG14575,,,,,
CCHamide-1 receptor,CCHa1-R,CG30106,,,,,
CCHamide-2 receptor,CCHa2-R,CG14593,,,,,
Cholecystokinin-like receptor at 17D1,CCKLR-17D1,CG42301,,,,,
Cholecystokinin-like receptor at 17D3,CCKLR-17D3,CG32540,,,,,
CNMamide receptor,CNMaR,CG33696,,,,,
Corazonin receptor,CrzR,CG10698,,,,,
Crustacean cardioactive peptide receptor,CCAP-R,CG33344,,,,,
Diuretic Hormone 31 receptor,Dh31-R,CG32843,,,,,
Diuretic Hormone 44 receptor 1,Dh44-R1,CG8422,,,,,
Diuretic Hormone 44 receptor 2 ,Dh44-R2,CG12370,,,,,
Ecdysis Triggering Hormone ,ETHR,CG5911,,,,,
FMRFamide Receptor,FMRFaR,CG2114,,,,,
Hormone Receptor 4,Hr4,CG43934,,,,,
Insulin-like receptor,InR,CG18402,,,,,
Leucine-rich repeat-containing G protein-coupled receptor 1,Lgr1,CG7665,,,,,
Leucokinin receptor,Lkr,CG10626,,,,,
Myosuppressin receptor 1 ,MsR1,CG8985,,,,,
Myosuppressin receptor 2 ,MsR2,CG43745,,,,,
Neuropeptide F receptor,NPFR,CG1147,,,,,
Pigment-dispersing factor receptor,Pdfr,CG13758,,,,,
Proctolin receptor,Proc-R,CG6986,,,,,
Pyrokinin 1 receptor,PK1-R,CG9918,,,,,
Pyrokinin 2 receptor 1,PK2-R1,CG8784,,,,,
Pyrokinin 2 receptor 2 ,PK2-R2,CG8795,,,,,
rickets,rk,CG8930,,,,,
RYamide receptor,RYa-R,CG5811,,,,,
Sex peptide receptor,SPR,CG16752,,,,,
short Neuropeptide F receptor,sNPF-R,CG7395,,,,,
SIFamide receptor,SIFaR,CG10823,,,,,
Tachykinin-like receptor at 86C,TkR86C,CG6515,,,,,
Tachykinin-like receptor at 99D,TkR99D,CG7887,,,,,
Trissin receptor,TrissinR,CG34381,,,,,
,,,,,,,
,,,,,,,
,,,,,,,https://www.cell.com/neuron/pdf/S0896-6273(12)00801-X.pdf
