name,GeneName,fbid,gene_snapshot_text,summary
AkhR,Adipokinetic hormone receptor,FBgn0025595,Adipokinetic hormone receptor (AkhR) encodes a G protein-coupled receptor for the hormone encoded by Akh. It modulates both lipid and carbohydrate homeostasis.,"The gene Adipokinetic hormone receptor is referred to in FlyBase by the symbol Dmel\AkhR (CG11325, FBgn0025595). It is a protein_coding_gene from Dmel. Gene sequence location is 2L:6711286..6716186. Its molecular function is described by: neuropeptide receptor activity; peptide binding; G protein-coupled receptor activity; adipokinetic hormone receptor activity; adipokinetic hormone binding. It is involved in the biological process described with 9 unique terms, many of which group under: homeostatic process; chemical homeostasis; lipid homeostasis; cellular response to stimulus; acylglycerol homeostasis. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderately high expression to a trough of extremely low expression.  Peak expression observed during late larval stages, during early pupal stages.  	"
AstA-R1,Allatostatin A receptor 1,FBgn0266429,Allatostatin A receptor 1 (AstA-R1) encodes a G-protein coupled receptor for the neuropeptide encoded by AstA.,"The gene Allatostatin A receptor 1 is referred to in FlyBase by the symbol Dmel\AstA-R1 (CG2872, FBgn0266429). It is a protein_coding_gene from Dmel. Gene sequence location is X:3574536..3666724. Its molecular function is described by: neuropeptide receptor activity; G protein-coupled receptor activity; allatostatin receptor activity. It is involved in the biological process described with: neuropeptide signaling pathway; G protein-coupled receptor signaling pathway. No alleles are reported."
AstA-R2,Allatostatin A receptor 2,FBgn0039595,Allatostatin A receptor 2 (AstA-R2) encodes a receptor of the neuropeptide encoded by AstA. The interaction of both proteins modulates insulin and AKH signaling from cells of the corpus cardiaca.,"The gene Allatostatin A receptor 2 is referred to in FlyBase by the symbol Dmel\AstA-R2 (CG10001, FBgn0039595). It is a protein_coding_gene from Dmel. Gene sequence location is 3R:28737109..28744782. Its molecular function is described by: neuropeptide receptor activity; allatostatin receptor activity; G protein-coupled receptor activity; G protein-coupled peptide receptor activity; neuropeptide Y receptor activity. It is involved in the biological process described with: neuropeptide signaling pathway; G protein-coupled receptor signaling pathway. 11 alleles are reported. No phenotypic data is available. No phenotypic class data is available. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of no expression detected.  Peak expression observed within 18-24 hour embryonic stages, at stages throughout the larval period, during early pupal stages, in adult male stages.  	"
AstC-R1,Allatostatin C receptor 1,FBgn0036790,Allatostatin C receptor 1 (AstC-R1) encodes G-protein coupled receptor for the neuropeptide encoded by AstC.,"The gene Allatostatin C receptor 1 is referred to in FlyBase by the symbol Dmel\AstC-R1 (CG7285, FBgn0036790). It is a protein_coding_gene from Dmel. Gene sequence location is 3L:18560258..18576326. Its molecular function is described by: neuropeptide receptor activity; somatostatin receptor activity; G protein-coupled receptor activity; allatostatin receptor activity. It is involved in the biological process described with: G protein-coupled receptor signaling pathway; neuropeptide signaling pathway. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of low expression to a trough of no expression detected.  Peak expression observed during late pupal stages.  	"
AstC-R2,Allatostatin C receptor 2,FBgn0036789,Allatostatin C receptor 2 (AstC-R2) encodes G-protein coupled receptor for the neuropeptide encoded by AstC.,"The gene Allatostatin C receptor 2 is referred to in FlyBase by the symbol Dmel\AstC-R2 (CG13702, FBgn0036789). It is a protein_coding_gene from Dmel. Gene sequence location is 3L:18485137..18502557. Its molecular function is described by: neuropeptide receptor activity; somatostatin receptor activity; G protein-coupled receptor activity; allatostatin receptor activity. It is involved in the biological process described with: neuropeptide signaling pathway; G protein-coupled receptor signaling pathway. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of extremely low expression.  Peak expression observed within 18-24 hour embryonic stages, during early larval stages.  	"
CCAP-R,Crustacean cardioactive peptide receptor,FBgn0039396,Contributions welcome.,"The gene Crustacean cardioactive peptide receptor is referred to in FlyBase by the symbol Dmel\CCAP-R (CG33344, FBgn0039396). It is a protein_coding_gene from Dmel. Gene sequence location is 3R:25923499..25956270. Its molecular function is described by: vasopressin receptor activity; neuropeptide receptor activity; G protein-coupled receptor activity. It is involved in the biological process described with: neuropeptide signaling pathway; G protein-coupled receptor signaling pathway; ecdysis, chitin-based cuticle. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of low expression to a trough of no expression detected.  Peak expression observed within 12-24 hour embryonic stages, during late pupal stages.  	"
CCHa1-R,CCHamide-1 receptor,FBgn0050106,Contributions welcome.,"The gene CCHamide-1 receptor is referred to in FlyBase by the symbol Dmel\CCHa1-R (CG30106, FBgn0050106). It is a protein_coding_gene from Dmel. Gene sequence location is 2R:17646848..17665068. Its molecular function is described by: neuropeptide receptor activity; allatostatin receptor activity; G protein-coupled peptide receptor activity; G protein-coupled receptor activity. It is involved in the biological process described with: G protein-coupled receptor signaling pathway; neuropeptide signaling pathway. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of low expression to a trough of no expression detected.  Peak expression observed within 12-24 hour embryonic stages, at stages throughout the larval period, at stages throughout the pupal period, in stages of adults of both sexes.  	"
CCHa2-R,CCHamide-2 receptor,FBgn0033058,Contributions welcome.,"The gene CCHamide-2 receptor is referred to in FlyBase by the symbol Dmel\CCHa2-R (CG14593, FBgn0033058). It is a protein_coding_gene from Dmel. Gene sequence location is 2R:6050949..6068680. Its molecular function is described by: G protein-coupled peptide receptor activity; G protein-coupled receptor activity; neuropeptide receptor activity. It is involved in the biological process described with: neuropeptide signaling pathway; G protein-coupled receptor signaling pathway. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of low expression to a trough of no expression detected.  Peak expression observed within 12-24 hour embryonic stages, during early larval stages, at stages throughout the pupal period, in adult male stages.  	"
CCKLR-17D1,Cholecystokinin-like receptor at 17D1,FBgn0259231,Cholecystokinin-like receptor at 17D1 (CCKLR-17D1) encodes a neuropeptide receptor involved in locomotion and neuromuscular junction growth.,"The gene Cholecystokinin-like receptor at 17D1 is referred to in FlyBase by the symbol Dmel\CCKLR-17D1 (CG42301, FBgn0259231). It is a protein_coding_gene from Dmel. Gene sequence location is X:18707494..18726572. Its molecular function is described by: neuropeptide receptor activity; G protein-coupled receptor activity. It is involved in the biological process described with 8 unique terms, many of which group under: multicellular organismal process; behavior; cellular process; response to stimulus; biological regulation. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of low expression to a trough of no expression detected.  Peak expression observed within 18-24 hour embryonic stages, during early larval stages.  	"
CCKLR-17D3,Cholecystokinin-like receptor at 17D3,FBgn0030954,"Cholecystokinin-like receptor at 17D3 (CCKLR-17D3) encodes a class A transmembrane G protein coupled receptor that binds the neuropeptide ligand encoded by Dsk. It acts through the cAMP-PKA-CREB pathway and it is needed for the growth of neuromuscular junctions. It regulates food ingestion, satiety, hyperactivity, aggression and escape-related locomotion.","The gene Cholecystokinin-like receptor at 17D3 is referred to in FlyBase by the symbol Dmel\CCKLR-17D3 (CG32540, FBgn0030954). It is a protein_coding_gene from Dmel. Gene sequence location is X:18764483..18774027. Its molecular function is described by: gastrin receptor activity; G protein-coupled receptor activity; neuropeptide receptor activity. It is involved in the biological process described with: G protein-coupled receptor signaling pathway; neuropeptide signaling pathway; adult locomotory behavior. No alleles are reported. Summary of modENCODE Temporal Expression Profile:  Temporal profile ranges from a peak of moderate expression to a trough of extremely low expression.  Peak expression observed within 18-24 hour embryonic stages, during early larval stages, at stages throughout the pupal period.  	"
